Organisation,Postcode,Website,Facebook,Twitter
3food4u,CM5 0AD,www.3food4u.org/,@3food4u,N/A
3food4u,IG10 4NX,www.3food4u.org/,@3food4u,N/A
3food4u,IG7 4QD,www.3food4u.org/,@3food4u,N/A
3food4u,EN9 1ER,www.3food4u.org/,@3food4u,N/A
3food4u,N15 5EG,www.3food4u.org/,@3food4u,N/A
5 Pillars,LU4 0EH,N/A,www.facebook.com/people/5-Pillars-Community-Group/100076215890005/,N/A
A Helping Hand In The Highlands,IV124PG,N/A,@Ahhith,N/A
A Helping Hand In The Highlands,IV2 3QW,N/A,@Ahhith1,N/A
A Helping Hand In The Highlands,IV17 0YT,N/A,@Ahhith1,N/A
Abbey Courth Helpers,M26 3RS,N/A,@Radcliffewastesavers,N/A
Action For Refugees In Lewisham,SE13 5ES,www.afril.org.uk,@ActionForRefugeesInLewisham,@afril
Action Force Community Group,LU3 2DG,www.actionforce.org.uk,@actionforcecommunitygroup,@actionforcecg
Adis legacy non profit community support group,LN5 8SS,N/A,www.facebook.com/groups/1664273157108873/?ref=share_group_link,N/A
Adis legacy non profit community support group,LN2 4DD,N/A,www.facebook.com/groups/1664273157108873/?ref=share_group_link,N/A
Adis legacy non profit community support group,LN5 8TQ,N/A,www.facebook.com/groups/1664273157108873/?ref=share_group_link,N/A
Agape Care Foodbank,PE11 2XP,N/A,@agapecarefoodbank,N/A
Aishah Help,"No set location (E12 6UN, Queensberry Place, Manor Park, London)",N/A,N/A,N/A
Al-Farooq Education and Community Centre,G42 8EJ,www.afecc.co.uk/,@AFECCSCOTLAND,N/A
Al-Ikhlas Centre,CF24 1NH,www.alikhlas.org.uk,@alikhlascec,@alikhlascec
Albrighton Foodbank (Tenbury),WV7 3EQ,www.albrightonparishchurch.org.uk/880352199077.htm,@stmarysalbrighton,N/A
Ambition Aspire Achieve,E16 4JT,www.theaaazone.com,@AmbitionAspireAchieve,@theaaazone
Ardwick and Longsight Food Bank,M13 0LN,www.ardwickandlongsightfoodbank.org.uk/,N/A,@ArdwickLongFood
Ashton Pantry (Church Wigan Pantries),WN4 9PL,www.stthomasstluke.org.uk/ourtown/ourtown-pantryparcels/,@stthomasstluke,@StThomasStLuke
Aspire Community and Wrestling Alliance Ltd,DE21 6DJ,N/A,@aspirewrestlingalliance,@AspireWrestling
Asylum Link Merseyside,L7 3HJ,www.asylumlink.org.uk/,@asylumlinkmerseyside,@AsylumLink
Axminster Health & Wellbeing Centre,EX13 5DZ,www.axminsterwellbeing.com,@axminsterwellbeing,N/A
AY Group Community Services CIC,SW1V 1TA,www.ay-group.org,N/A,@AY_CIC
Aylesbury Vineyard Storehouse,HP19 8DN,www.aylesburyvineyard.church/storehouse,@aylesburystorehouse,@aylesburyvine
Baby Box Isle of Wight,PO38 1AS,N/A,@BabyBoxIOW,N/A
Bahja Initiative,BB5 0RT,Bahja.co.uk,@bahjainitiativeaccrington,@BahjaInitiative
Banc Bwyd Aberaeron,SA46 0AJ,N/A,@BancBwydAberaeron,N/A
Banc Bwyd Bro Ddyfi Foodbank,SY20 8ER,N/A,N/A,N/A
Banc Bwyd Llanbed-Lampeter Food Bank,SA48 7BN,N/A,@lampeterfoodbank,N/A
Basics Food Bank (Lanarkshire),ML1 1XE,www.basicsfoodbanklanarkshire.weebly.com,@basicsfoodbank,N/A
Basics Food Bank (Lanarkshire),ML2 7AY,www.basicsfoodbanklanarkshire.weebly.com,@basicsfoodbank,N/A
Bassetlaw Food Bank (Manton),S80 2TU,www.bassetlawfoodbank.org/,@bassetlaw.foodbank,@BassetlawB
Bassetlaw Food Bank (Retford),DN22 6BP,www.bassetlawfoodbank.org/,@bassetlaw.foodbank,@BassetlawB
Bath Vegan Food Bank (a Vegans Against world Hunger project),BA2 1HD,www.vegansagainstworldhunger.org,@vegansagainstworldhunger,N/A
Batley Food Bank,WF17 8PD,www.batleyfoodbank.org.uk,@batleyfood,@batleyfoodbank
Be Enriched,SE1 6SN,www.be-enriched.org,@Be.EnrichedUK,@be_enriched
Be Enriched,SW4 8EP,www.be-enriched.org,@Be.EnrichedUK,@be_enriched
Be Enriched,SW17 9NQ,www.be-enriched.org,@Be.EnrichedUK,@be_enriched
Bedford Street Community Company Ltd,LL18 1LS,www.forydcentre.com,@forydcentre,N/A
Belfast And Lisburn Community Project,BT4 3BA,www.balcproject.org.uk/,@BALCProject,@BALCProject
Belton Church Pantry,NR31 9LD,N/A,N/A,N/A
Bervie Pantry,DD10 0RB,N/A,www.facebook.com/groups/630843637988146/,N/A
